ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
"10121","34","81.35","5","2765.9","2003-05-07","Shipped","2","5","2003","Motorcycles","95","S10_1678","Reims Collectables","26.47.1555","59 rue de l'Abbaye",\N,"Reims",\N,"51100","France","EMEA","Henriot","Paul","Small"
"10134","41","94.74","2","3884.34","2003-07-01","Shipped","3","7","2003","Motorcycles","95","S10_1678","Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",\N,"Paris",\N,"75508","France","EMEA","Da Cunha","Daniel","Medium"
"10145","45","83.26","6","3746.7","2003-08-25","Shipped","3","8","2003","Motorcycles","95","S10_1678","Toys4GrownUps.com","6265557265","78934 Hillside Dr.",\N,"Pasadena","CA","90003","USA",\N,"Young","Julie","Medium"
"10237","23","100","7","2333.12","2004-04-05","Shipped","2","4","2004","Motorcycles","95","S10_1678","Vitachrome Inc.","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA",\N,"Frick","Michael","Small"
"10251","28","100","2","3188.64","2004-05-18","Shipped","2","5","2004","Motorcycles","95","S10_1678","Tekni Collectables Inc.","2015559350","7476 Moss Rd.",\N,"Newark","NJ","94019","USA",\N,"Brown","William","Medium"
"10263","34","100","2","3676.76","2004-06-28","Shipped","2","6","2004","Motorcycles","95","S10_1678","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Medium"
"10275","45","92.83","1","4177.35","2004-07-23","Shipped","3","7","2004","Motorcycles","95","S10_1678","La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",\N,"Nantes",\N,"44000","France","EMEA","Labrune","Janine","Medium"
"10285","36","100","6","4099.68","2004-08-27","Shipped","3","8","2004","Motorcycles","95","S10_1678","Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",\N,"Cambridge","MA","51247","USA",\N,"Hernandez","Marta","Medium"
"10299","23","100","9","2597.39","2004-09-30","Shipped","3","9","2004","Motorcycles","95","S10_1678","Toys of Finland, Co.","90-224 8555","Keskuskatu 45",\N,"Helsinki",\N,"21240","Finland","EMEA","Karttunen","Matti","Small"
"10403","24","100","7","2434.56","2005-04-08","Shipped","2","4","2005","Motorcycles","95","S10_1678","UK Collectables, Ltd.","(171) 555-2282","Berkeley Gardens 12  Brewery",\N,"Liverpool",\N,"WX1 6LT","UK","EMEA","Devon","Elizabeth","Small"
